Ilan_No,Ilan_Yili,Ilce,Brut_Metrekare,Oda_Sayisi,Bina_Yasi,Kat_Sayisi,Bulundugu_Kat,Isitma_Tipi,Site_Icerisinde,Fiyat
1,2024,Beşiktaş,100,2,5,10,3,Doğalgaz,Evet,20000000
2,2024,Esenyurt,80,2,3,8,2,Doğalgaz,Evet,6000000
3,2024,Beşiktaş,120,3,6,12,4,Merkezi,Evet,25000000
4,2024,Esenyurt,75,2,2,6,1,Doğalgaz,Hayir,5500000
5,2024,Beşiktaş,150,4,8,15,5,Doğalgaz,Evet,32000000
6,2024,Esenyurt,90,3,4,10,2,Merkezi,Hayir,7000000
7,2025,Beşiktaş,150,4,5,10,3,Doğalgaz,Evet,48000000
8,2025,Esenyurt,85,2,3,8,2,Doğalgaz,Evet,9000000
9,2025,Beşiktaş,140,3,6,11,4,Merkezi,Evet,46000000
10,2025,Esenyurt,95,3,2,5,1,Doğalgaz,Hayir,8000000
11,2024,Beşiktaş,130,3,5,10,2,Doğalgaz,Evet,27000000
12,2024,Esenyurt,70,2,2,6,1,Merkezi,Evet,5000000
13,2024,Beşiktaş,160,4,7,12,4,Doğalgaz,Evet,30000000
14,2024,Esenyurt,80,2,1,6,2,Doğalgaz,Hayir,6000000
15,2025,Beşiktaş,180,4,5,10,3,Merkezi,Evet,48000000
16,2025,Esenyurt,90,3,3,7,2,Doğalgaz,Evet,9500000
17,2024,Beşiktaş,110,3,4,9,3,Doğalgaz,Evet,22000000
18,2024,Esenyurt,75,2,4,6,2,Merkezi,Evet,5500000
19,2025,Beşiktaş,170,4,6,12,4,Doğalgaz,Evet,45000000
20,2025,Esenyurt,100,3,3,8,2,Doğalgaz,Hayir,8200000
21,2024,Beşiktaş,125,3,7,10,2,Doğalgaz,Evet,26000000
22,2024,Esenyurt,85,2,4,5,1,Doğalgaz,Hayir,5500000
23,2025,Beşiktaş,200,5,7,15,5,Merkezi,Evet,50000000
24,2025,Esenyurt,95,3,2,12,3,Doğalgaz,Evet,8800000
25,2024,Beşiktaş,130,4,6,12,4,Doğalgaz,Evet,29000000
26,2024,Esenyurt,80,2,3,6,2,Merkezi,Evet,6000000
27,2025,Beşiktaş,140,4,5,11,3,Doğalgaz,Evet,46000000
28,2025,Esenyurt,85,3,3,7,2,Doğalgaz,Hayir,9000000
29,2024,Beşiktaş,145,3,8,11,3,Merkezi,Evet,27000000
30,2024,Esenyurt,75,2,3,6,1,Doğalgaz,Hayir,6200000
31,2025,Beşiktaş,170,4,6,12,5,Doğalgaz,Evet,48000000
32,2025,Esenyurt,95,3,4,8,2,Doğalgaz,Evet,8300000
33,2024,Beşiktaş,135,4,7,11,3,Doğalgaz,Evet,30000000
34,2024,Esenyurt,90,2,3,6,2,Merkezi,Evet,6000000
35,2025,Beşiktaş,180,5,6,13,4,Merkezi,Evet,49000000
36,2025,Esenyurt,100,3,2,7,2,Doğalgaz,Hayir,9000000
37,2024,Beşiktaş,140,3,5,10,3,Doğalgaz,Evet,23000000
38,2024,Esenyurt,70,2,2,6,1,Merkezi,Evet,5700000
39,2025,Beşiktaş,190,5,8,14,5,Doğalgaz,Evet,51000000
40,2025,Esenyurt,110,4,4,9,3,Merkezi,Evet,11500000
41,2024,Beşiktaş,125,3,8,11,2,Doğalgaz,Evet,24000000
42,2024,Esenyurt,75,2,3,7,2,Doğalgaz,Hayir,6000000
43,2025,Beşiktaş,150,4,7,12,3,Mercenai,Evet,45000000
44,2025,Esenyurt,95,3,2,5,1,Doğalgaz,Hayir,9000000
45,2024,Beşiktaş,100,2,4,9,3,Doğalgaz,Evet,24000000
46,2024,Esenyurt,85,2,3,8,2,Merkezi,Evet,6200000
