İlçe,Metrekare,Oda_Sayısı,Binanın_Yaşı,Fiyatı,Site_Icerisinde,Bulundugu_Kat,Kat_Sayisi,Isitma_Tipi,Veri_Kaynagi,Isitma_Skoru,İlçe_Kod,Oda_Metrekare,Yaş_Grup,Metrekare_Log,Oda_Sayisi_Log,Metrekare_x_Oda,Yas_x_Metrekare,İlçe_Gücü,Giris_Kat_Mi,Site_Bonus,Kat_Orani,Ilce_Oda_Key,İlçe_Oda_Gücü
Beşiktaş,190,5.0,7.5,18000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,37.254901960784316,1,5.25227342804663,1.791759469228055,950.0,1425.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,300,6.0,30.0,8500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,49.18032786885246,3,5.707110264748875,1.9459101490553132,1800.0,9000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,350,7.0,30.0,16500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,49.29577464788733,3,5.860786223465865,2.0794415416798357,2450.0,10500.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_7,47342307.692307696
Beşiktaş,450,8.0,7.5,22000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,55.55555555555556,1,6.111467339502679,2.1972245773362196,3600.0,3375.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_8,29345454.545454547
Beşiktaş,160,4.0,30.0,4250000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,39.024390243902445,3,5.081404364984463,1.6094379124341003,640.0,4800.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,65,3.0,30.0,875000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,20.967741935483872,3,4.189654742026425,1.3862943611198906,195.0,1950.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,350,6.0,30.0,28000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,57.37704918032787,3,5.860786223465865,1.9459101490553132,2100.0,10500.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,90,3.0,30.0,1250000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,29.032258064516128,3,4.51085950651685,1.3862943611198906,270.0,2700.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,160,4.0,30.0,4950000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,39.024390243902445,3,5.081404364984463,1.6094379124341003,640.0,4800.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,190,5.0,18.0,7600000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,37.254901960784316,2,5.25227342804663,1.791759469228055,950.0,3420.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,270,7.0,7.5,8500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,38.02816901408451,1,5.602118820879701,2.0794415416798357,1890.0,2025.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_7,47342307.692307696
Beşiktaş,200,5.0,30.0,2500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,39.21568627450981,3,5.303304908059076,1.791759469228055,1000.0,6000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,200,4.0,30.0,3650000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,48.78048780487805,3,5.303304908059076,1.6094379124341003,800.0,6000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,236,5.0,10.0,21000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,46.274509803921575,1,5.4680601411351315,1.791759469228055,1180.0,2360.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,420,6.0,4.0,35000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,68.85245901639345,0,6.042632833682381,1.9459101490553132,2520.0,1680.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,168,3.0,2.0,10500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,54.193548387096776,0,5.1298987149230735,1.3862943611198906,504.0,336.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,212,4.0,2.0,18200000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,51.707317073170735,0,5.3612921657094255,1.6094379124341003,848.0,424.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,130,5.0,30.0,2000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,25.490196078431374,3,4.875197323201151,1.791759469228055,650.0,3900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,120,3.5,30.0,3800000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,33.333333333333336,3,4.795790545596741,1.5040773967762742,420.0,3600.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,600,6.0,4.0,80000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,98.36065573770492,0,6.398594934535208,1.9459101490553132,3600.0,2400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,180,4.0,30.0,17000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,43.90243902439025,3,5.198497031265826,1.6094379124341003,720.0,5400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,240,5.0,10.0,9000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,47.05882352941177,1,5.484796933490655,1.791759469228055,1200.0,2400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,130,4.0,30.0,2000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,31.707317073170735,3,4.875197323201151,1.6094379124341003,520.0,3900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,130,4.0,30.0,1525000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,31.707317073170735,3,4.875197323201151,1.6094379124341003,520.0,3900.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,80,3.0,30.0,1150000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,25.806451612903224,3,4.394449154672439,1.3862943611198906,240.0,2400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,70,2.0,30.0,2100000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,33.33333333333333,3,4.2626798770413155,1.0986122886681098,140.0,2100.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_2,14200681.818181818
Beşiktaş,650,7.0,7.5,110000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,91.54929577464789,1,6.478509642208569,2.0794415416798357,4550.0,4875.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_7,47342307.692307696
Beşiktaş,260,5.0,30.0,42000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,50.98039215686275,3,5.564520407322694,1.791759469228055,1300.0,7800.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_5,38385762.711864404
Beşiktaş,240,6.0,30.0,14000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,39.34426229508197,3,5.484796933490655,1.9459101490553132,1440.0,7200.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,320,6.0,30.0,16000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,52.459016393442624,3,5.771441123130016,1.9459101490553132,1920.0,9600.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,180,4.0,30.0,17000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,43.90243902439025,3,5.198497031265826,1.6094379124341003,720.0,5400.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,125,4.0,30.0,3250000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,30.487804878048784,3,4.836281906951478,1.6094379124341003,500.0,3750.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,210,4.0,7.5,7500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,51.21951219512196,1,5.351858133476067,1.6094379124341003,840.0,1575.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,175,4.0,30.0,11000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,42.6829268292683,3,5.170483995038151,1.6094379124341003,700.0,5250.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
